company,trust_score,reviews_number,location,keywords,Id_reviews,title_reviews,reviews,score_reviews,published_date
Canebiera,"4,9",249.0,"Aix-en-Provence, France","Production agricole, ·, Magasin de vitamines et compléments alimentaires",DavidFR,Produits de très grande qualité j'ai…,Produits de très grande qualité j'ai essayé les cartouches de CBD elles sont vraiment puissantes c'est du beau travail merci Caneberia,5,2025-06-05T11:00:11.000Z
Canebiera,"4,9",249.0,"Aix-en-Provence, France","Production agricole, ·, Magasin de vitamines et compléments alimentaires",Charles De prevost,Juste INCROYABLE !,,5,2025-06-04T18:21:35.000Z
Canebiera,"4,9",249.0,"Aix-en-Provence, France","Production agricole, ·, Magasin de vitamines et compléments alimentaires",Hanelaure,super produit et service client,"super produit, super service client",5,2025-06-04T14:07:23.000Z
Canebiera,"4,9",249.0,"Aix-en-Provence, France","Production agricole, ·, Magasin de vitamines et compléments alimentaires",Suzanne,grande qualité.,grande qualité.,5,2025-05-22T17:50:57.000Z
Canebiera,"4,9",249.0,"Aix-en-Provence, France","Production agricole, ·, Magasin de vitamines et compléments alimentaires",Ludo,Produits de grande qualité,Produits de grande qualité Livraison rapide,5,2025-05-20T17:14:06.000Z
Miel Lacourcelle,"4,9",138.0,"Chaumeil, France","Miellerie, ·, Producteur de produits alimentaires, ·, Magasin d'alimentation bio, ·, Ferme bio",Sandrine P,Miel délicieux,"Miel délicieux, colis parfaitement emballé et délai de réception parfait !! Merci",5,2025-06-03T10:25:09.000Z
Miel Lacourcelle,"4,9",138.0,"Chaumeil, France","Miellerie, ·, Producteur de produits alimentaires, ·, Magasin d'alimentation bio, ·, Ferme bio",Michele,Excellent rapport qualité prix p,Excellent rapport qualité prix p! Ce miel est délicieux !,5,2025-05-26T17:47:47.000Z
Miel Lacourcelle,"4,9",138.0,"Chaumeil, France","Miellerie, ·, Producteur de produits alimentaires, ·, Magasin d'alimentation bio, ·, Ferme bio",Michael Monnier,Service impeccable et un très bon pain…,Service impeccable et un très bon pain d’épices,5,2025-05-20T19:40:25.000Z
Miel Lacourcelle,"4,9",138.0,"Chaumeil, France","Miellerie, ·, Producteur de produits alimentaires, ·, Magasin d'alimentation bio, ·, Ferme bio",Bruno,Bonne adresse,RAS? tout ok,4,2025-05-14T15:36:02.000Z
Miel Lacourcelle,"4,9",138.0,"Chaumeil, France","Miellerie, ·, Producteur de produits alimentaires, ·, Magasin d'alimentation bio, ·, Ferme bio",Jean-Baptiste Bourgoin,Excellence tournée clients,"Les produits proposés sont excellents avec un savoir-faire faire artisanal remarquable. L'offre se diversifie au fil du temps, gage de dynamisme pour le client.",5,2025-05-13T14:38:14.000Z
Ouwayss,"4,9",100.0,,"Miellerie, ·, Magasin de produits capillaires, ·, Parfumerie, ·, Boutique de santé et beauté",Aboubakar  Konate,Au delà du sérieux et de l’efficacité…,"Au delà du sérieux et de l’efficacité ainsi que la rapide de la livraison. Les parfums sont doux, agréable à sentir tout au long de la journée. Vous gardez une fraîcheur du matin au soir. L’odeur du parfum n’est pas envahissant pour les autres.",5,2025-05-28T02:05:52.000Z
Ouwayss,"4,9",100.0,,"Miellerie, ·, Magasin de produits capillaires, ·, Parfumerie, ·, Boutique de santé et beauté",Amadou  Ba,Vraiment satisfait au delà des mes…,Vraiment satisfait au delà des mes attentes ! Produits de qualité ! Sérieux et réactif ! Je vous le recommande les yeux fermés !Un grand merci à toute l'équipe !,5,2025-05-26T12:46:30.000Z
